127.0.0.1 - - [30/Jul/2026 08:08:01] "GET /js/pipeline.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:01] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:02] "GET /images/logolong.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:03] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:03] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:03] "GET /images/QuantisAIFavi.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:03] "GET /images/logolongDark.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:03] "GET /images/QuantisAI.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:03] "GET /js/pipeline.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:03] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:04] "GET /images/logolong.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:05] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:05] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:05] "GET /images/QuantisAIFavi.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:05] "GET /images/logolongDark.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:05] "GET /images/QuantisAI.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:05] "GET /js/pipeline.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:05] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:06] "GET /images/logolong.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:12] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:12] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:12] "GET /images/logolongDark.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:12] "GET /images/QuantisAIFavi.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:12] "GET /js/pipeline.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:12] "GET /images/QuantisAI.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:13] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:13] "GET /images/logolong.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:20] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:20] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:20] "GET /images/logolongDark.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:20] "GET /images/QuantisAIFavi.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:20] "GET /images/QuantisAI.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:20] "GET /js/pipeline.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:20] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:21] "GET /images/logolong.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:23] "GET /prompts/metadata-extraction.md HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:24] "GET /prompts/trade-classifier.md HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:25] "GET /prompts/document-intelligence.md HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:25] "GET /prompts/drawing-interpreter.md HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:25] "GET /prompts/quantity-surveyor.md HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:26] "GET /prompts/boq-generator.md HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:26] "GET /prompts/cost-estimator.md HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:28] "GET /prompts/quotation-generator.md HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:28] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:28] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:28] "GET /images/QuantisAIFavi.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:28] "GET /images/logolongDark.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:28] "GET /images/QuantisAI.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:28] "GET /js/pipeline.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:28] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:29] "GET /images/logolong.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:30] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:30] "GET /images/logolongDark.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:30] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:30] "GET /images/QuantisAIFavi.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:30] "GET /images/QuantisAI.png HTTP/1.1" 200 -
